 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.06E-11
   Max.:          2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
   -93     -92    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
   -92     -91    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
   -91     -90    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
   -90     -89    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -89     -88    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -88     -87    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -87     -86    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -86     -85    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -85     -84    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -84     -83    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -83     -82    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -82     -81    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -81     -80    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -80     -79    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -79     -78    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -78     -77    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -77     -76    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -76     -75    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -75     -74    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -74     -73    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -73     -72    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -72     -71    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -71     -70    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -70     -69    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -69     -68    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -68     -67    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -67     -66    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -66     -65    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -65     -64    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -64     -63    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -63     -62    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -62     -61    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -61     -60    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
   -60     -59    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -59     -58    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -58     -57    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -57     -56    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -56     -55    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -55     -54    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -54     -53    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -53     -52    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -52     -51    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -51     -50    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -50     -49    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -49     -48    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -48     -47    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -47     -46    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -46     -45    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -45     -44    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -44     -43    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -43     -42    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -42     -41    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -41     -40    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -40     -39    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -39     -38    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -38     -37    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -37     -36    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -36     -35    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -35     -34    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -34     -33    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -33     -32    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -32     -31    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -31     -30    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
   -30     -29    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -29     -28    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -28     -27    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -27     -26    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -26     -25    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -25     -24    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -24     -23    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -23     -22    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -22     -21    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -21     -20    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -20     -19    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -19     -18    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -18     -17    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -17     -16    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -16     -15    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -15     -14    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -14     -13    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -13     -12    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -12     -11    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -11     -10    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
   -10      -9    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    -9      -8    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    -8      -7    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    -7      -6    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    -6      -5    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    -5      -4    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    -4      -3    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    -3      -2    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    -2      -1    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    -1       0    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     0       1    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     1       2    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     2       3    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     3       4    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     4       5    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     5       6    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     6       7    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     7       8    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     8       9    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
     9      10    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    10      11    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    11      12    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    12      13    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    13      14    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    14      15    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    15      16    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    16      17    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    17      18    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    18      19    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    19      20    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    20      21    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    21      22    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    22      23    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    23      24    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    24      25    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    25      26    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    26      27    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    27      28    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    28      29    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    29      30    1.75E+01   3.20E-02   1.06E-04   2.82E-08   4.49E-09   2.32E-09
    30      31    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    31      32    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    32      33    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    33      34    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    34      35    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    35      36    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    36      37    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    37      38    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    38      39    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    39      40    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    40      41    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    41      42    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    42      43    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    43      44    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
