 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2028  Perigee Altitude =    328.132  Apogee Altitude =   331.665  inc =   51.63
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.93E-06   1.32E-11   1.32E-11   8.44E-10   1.84E-11   9.87E-12
   Max.:          3.49E+02   4.01E-01   2.40E-03   1.93E-07   2.24E-08   1.19E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  13.7    13.8    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  13.8    13.9    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  13.9    14.0    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  14.0    14.1    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  14.1    14.2    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  14.2    14.3    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  14.3    14.4    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  14.4    14.5    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  14.5    14.6    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  14.6    14.7    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  14.7    14.8    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  14.8    14.9    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  14.9    15.0    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.0    15.1    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.1    15.2    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.2    15.3    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.3    15.4    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.4    15.5    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.5    15.6    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.6    15.7    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.7    15.8    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.8    15.9    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  15.9    16.0    2.84E+02   3.15E-01   3.74E-04   1.52E-07   1.92E-08   1.19E-08
  16.0    16.1    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  16.1    16.2    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  16.2    16.3    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  16.3    16.4    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  16.4    16.5    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  16.5    16.6    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  16.6    16.7    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  16.7    16.8    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  16.8    16.9    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  16.9    17.0    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.0    17.1    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.1    17.2    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.2    17.3    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.3    17.4    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.4    17.5    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.5    17.6    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.6    17.7    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.7    17.8    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.8    17.9    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  17.9    18.0    7.31E-01   9.79E-04   1.60E-06   8.44E-10   1.84E-11   9.87E-12
  18.0    18.1    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  18.1    18.2    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  18.2    18.3    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  18.3    18.4    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  18.4    18.5    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  18.5    18.6    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  18.6    18.7    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  18.7    18.8    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  18.8    18.9    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  18.9    19.0    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.0    19.1    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.1    19.2    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.2    19.3    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.3    19.4    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.4    19.5    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.5    19.6    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.6    19.7    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.7    19.8    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.8    19.9    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  19.9    20.0    2.93E-06   1.32E-11   1.32E-11   1.00E-99   1.00E-99   1.00E-99
  20.0    20.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.1    20.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.2    20.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.3    20.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.4    20.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.5    20.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.6    20.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.7    20.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.8    20.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.9    21.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.0    21.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.1    21.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.2    21.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.3    21.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.4    21.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.5    21.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.6    21.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.7    21.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.8    21.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.9    22.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.0    22.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.1    22.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.2    22.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.3    22.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.4    22.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.5    22.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.6    22.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.7    22.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.8    22.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.9    23.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
