 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  1.82E-03   1.00E-04   5.07E-05   4.93E-05
  1.86E-03   8.21E-05   4.16E-05   4.04E-05
  1.91E-03   6.77E-05   3.43E-05   3.33E-05
  1.95E-03   5.61E-05   2.84E-05   2.76E-05
  2.00E-03   4.69E-05   2.37E-05   2.31E-05
  2.04E-03   3.94E-05   2.00E-05   1.94E-05
  2.09E-03   3.33E-05   1.69E-05   1.64E-05
  2.14E-03   2.84E-05   1.45E-05   1.40E-05
  2.19E-03   2.44E-05   1.24E-05   1.21E-05
  2.24E-03   2.11E-05   1.08E-05   1.05E-05
  2.29E-03   1.83E-05   9.42E-06   9.14E-06
  2.34E-03   1.61E-05   8.29E-06   8.03E-06
  2.40E-03   1.42E-05   7.34E-06   7.12E-06
  2.45E-03   1.26E-05   6.55E-06   6.35E-06
  2.51E-03   1.12E-05   5.89E-06   5.70E-06
  2.57E-03   1.01E-05   5.33E-06   5.15E-06
  2.63E-03   9.16E-06   4.85E-06   4.69E-06
  2.69E-03   8.34E-06   4.45E-06   4.29E-06
  2.75E-03   7.64E-06   4.10E-06   3.96E-06
  2.82E-03   7.04E-06   3.80E-06   3.67E-06
  2.88E-03   6.52E-06   3.55E-06   3.42E-06
  2.95E-03   6.08E-06   3.33E-06   3.21E-06
  3.02E-03   5.70E-06   3.15E-06   3.03E-06
  3.09E-03   5.37E-06   2.99E-06   2.87E-06
  3.16E-03   5.09E-06   2.86E-06   2.74E-06
  3.24E-03   4.85E-06   2.72E-06   2.61E-06
  3.31E-03   4.62E-06   2.58E-06   2.48E-06
  3.39E-03   4.41E-06   2.46E-06   2.36E-06
  3.47E-03   4.21E-06   2.34E-06   2.25E-06
  3.55E-03   4.02E-06   2.23E-06   2.15E-06
  3.63E-03   3.85E-06   2.13E-06   2.05E-06
  3.72E-03   3.69E-06   2.04E-06   1.96E-06
  3.80E-03   3.53E-06   1.95E-06   1.87E-06
  3.89E-03   3.39E-06   1.86E-06   1.79E-06
  3.98E-03   3.25E-06   1.79E-06   1.72E-06
  4.07E-03   3.13E-06   1.71E-06   1.65E-06
  4.17E-03   3.01E-06   1.64E-06   1.58E-06
  4.27E-03   2.89E-06   1.58E-06   1.52E-06
  4.37E-03   2.79E-06   1.52E-06   1.46E-06
  4.47E-03   2.69E-06   1.46E-06   1.41E-06
  4.57E-03   2.59E-06   1.40E-06   1.35E-06
  4.68E-03   2.50E-06   1.35E-06   1.30E-06
  4.79E-03   2.42E-06   1.30E-06   1.26E-06
