 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.48E-12
   Max.:          9.56E+00   1.30E-02   9.07E-05   7.93E-09   6.54E-10   2.91E-10
 ------  ------   --------   --------   --------   --------   --------   --------  
   -76     -75    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -75     -74    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -74     -73    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -73     -72    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -72     -71    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -71     -70    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -70     -69    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -69     -68    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -68     -67    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -67     -66    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -66     -65    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -65     -64    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -64     -63    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -63     -62    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -62     -61    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
