 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
   Max.:          4.85E+02   8.91E-01   3.21E-03   8.47E-07   1.10E-07   4.83E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  13.8    13.9    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  13.9    14.0    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  14.0    14.1    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  14.1    14.2    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  14.2    14.3    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  14.3    14.4    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  14.4    14.5    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  14.5    14.6    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  14.6    14.7    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  14.7    14.8    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  14.8    14.9    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  14.9    15.0    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  15.0    15.1    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  15.1    15.2    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  15.2    15.3    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  15.3    15.4    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  15.4    15.5    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  15.5    15.6    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
