 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  2.19E-04   1.05E+00   2.27E-01   2.27E-01
  2.24E-04   9.86E-01   2.18E-01   2.17E-01
  2.29E-04   9.30E-01   2.08E-01   2.08E-01
  2.34E-04   8.78E-01   1.99E-01   1.99E-01
  2.40E-04   8.28E-01   1.91E-01   1.90E-01
  2.45E-04   7.81E-01   1.82E-01   1.82E-01
  2.51E-04   7.37E-01   1.74E-01   1.74E-01
  2.57E-04   6.95E-01   1.67E-01   1.66E-01
  2.63E-04   6.56E-01   1.59E-01   1.59E-01
  2.69E-04   6.19E-01   1.52E-01   1.52E-01
  2.75E-04   5.84E-01   1.45E-01   1.45E-01
  2.82E-04   5.51E-01   1.39E-01   1.39E-01
  2.88E-04   5.19E-01   1.33E-01   1.32E-01
  2.95E-04   4.90E-01   1.27E-01   1.26E-01
  3.02E-04   4.62E-01   1.21E-01   1.21E-01
  3.09E-04   4.36E-01   1.15E-01   1.15E-01
  3.16E-04   4.11E-01   1.10E-01   1.10E-01
  3.24E-04   3.88E-01   1.06E-01   1.06E-01
  3.31E-04   3.67E-01   1.03E-01   1.02E-01
  3.39E-04   3.46E-01   9.92E-02   9.87E-02
  3.47E-04   3.27E-01   9.59E-02   9.54E-02
  3.55E-04   3.10E-01   9.27E-02   9.22E-02
  3.63E-04   2.93E-01   8.97E-02   8.92E-02
  3.72E-04   2.77E-01   8.68E-02   8.63E-02
  3.80E-04   2.63E-01   8.40E-02   8.35E-02
  3.89E-04   2.49E-01   8.14E-02   8.08E-02
  3.98E-04   2.36E-01   7.88E-02   7.83E-02
  4.07E-04   2.24E-01   7.64E-02   7.58E-02
  4.17E-04   2.13E-01   7.40E-02   7.34E-02
  4.27E-04   2.02E-01   7.17E-02   7.11E-02
  4.37E-04   1.92E-01   6.95E-02   6.89E-02
  4.47E-04   1.83E-01   6.74E-02   6.68E-02
  4.57E-04   1.74E-01   6.54E-02   6.47E-02
  4.68E-04   1.66E-01   6.34E-02   6.27E-02
  4.79E-04   1.58E-01   6.15E-02   6.08E-02
  4.90E-04   1.50E-01   5.96E-02   5.89E-02
  5.01E-04   1.43E-01   5.78E-02   5.71E-02
  5.13E-04   1.36E-01   5.61E-02   5.53E-02
  5.25E-04   1.30E-01   5.44E-02   5.36E-02
  5.37E-04   1.24E-01   5.27E-02   5.19E-02
  5.50E-04   1.18E-01   5.11E-02   5.03E-02
  5.62E-04   1.13E-01   4.96E-02   4.87E-02
  5.75E-04   1.08E-01   4.80E-02   4.71E-02
  5.89E-04   1.03E-01   4.65E-02   4.56E-02
  6.03E-04   9.83E-02   4.50E-02   4.41E-02
  6.17E-04   9.38E-02   4.36E-02   4.27E-02
  6.31E-04   8.95E-02   4.22E-02   4.12E-02
  6.46E-04   8.53E-02   4.08E-02   3.98E-02
  6.61E-04   8.14E-02   3.94E-02   3.85E-02
  6.76E-04   7.76E-02   3.81E-02   3.71E-02
  6.92E-04   7.39E-02   3.67E-02   3.57E-02
  7.08E-04   7.04E-02   3.54E-02   3.44E-02
  7.24E-04   6.70E-02   3.41E-02   3.31E-02
  7.41E-04   6.37E-02   3.28E-02   3.18E-02
  7.59E-04   6.06E-02   3.16E-02   3.06E-02
  7.76E-04   5.75E-02   3.03E-02   2.93E-02
  7.94E-04   5.46E-02   2.91E-02   2.81E-02
  8.13E-04   5.17E-02   2.79E-02   2.69E-02
  8.32E-04   4.90E-02   2.67E-02   2.57E-02
  8.51E-04   4.63E-02   2.55E-02   2.45E-02
  8.71E-04   4.38E-02   2.43E-02   2.33E-02
  8.91E-04   4.13E-02   2.32E-02   2.22E-02
  9.12E-04   3.89E-02   2.20E-02   2.11E-02
  9.33E-04   3.66E-02   2.09E-02   2.00E-02
  9.55E-04   3.44E-02   1.98E-02   1.89E-02
  9.77E-04   3.23E-02   1.88E-02   1.79E-02
  1.00E-03   3.02E-02   1.77E-02   1.69E-02
  1.02E-03   2.81E-02   1.64E-02   1.56E-02
  1.05E-03   2.59E-02   1.49E-02   1.42E-02
  1.07E-03   2.36E-02   1.34E-02   1.29E-02
  1.10E-03   2.13E-02   1.20E-02   1.15E-02
  1.12E-03   1.90E-02   1.06E-02   1.02E-02
  1.15E-03   1.68E-02   9.30E-03   8.94E-03
  1.17E-03   1.48E-02   8.08E-03   7.78E-03
  1.20E-03   1.29E-02   6.97E-03   6.72E-03
  1.23E-03   1.12E-02   5.96E-03   5.76E-03
  1.26E-03   9.60E-03   5.07E-03   4.90E-03
  1.29E-03   8.20E-03   4.28E-03   4.15E-03
  1.32E-03   6.97E-03   3.60E-03   3.49E-03
  1.35E-03   5.90E-03   3.01E-03   2.92E-03
  1.38E-03   4.97E-03   2.50E-03   2.43E-03
  1.41E-03   4.17E-03   2.08E-03   2.02E-03
  1.45E-03   3.49E-03   1.72E-03   1.67E-03
  1.48E-03   2.92E-03   1.42E-03   1.38E-03
  1.51E-03   2.43E-03   1.17E-03   1.14E-03
  1.55E-03   2.03E-03   9.62E-04   9.40E-04
  1.58E-03   1.69E-03   7.92E-04   7.75E-04
  1.62E-03   1.41E-03   6.53E-04   6.39E-04
  1.66E-03   1.18E-03   5.38E-04   5.28E-04
  1.70E-03   9.88E-04   4.45E-04   4.37E-04
  1.74E-03   8.29E-04   3.69E-04   3.62E-04
  1.78E-03   6.98E-04   3.07E-04   3.02E-04
  1.82E-03   5.90E-04   2.56E-04   2.52E-04
  1.86E-03   5.00E-04   2.15E-04   2.11E-04
  1.91E-03   4.26E-04   1.81E-04   1.78E-04
  1.95E-03   3.64E-04   1.53E-04   1.51E-04
  2.00E-03   3.13E-04   1.30E-04   1.28E-04
  2.04E-03   2.71E-04   1.11E-04   1.10E-04
  2.09E-03   2.35E-04   9.56E-05   9.43E-05
  2.14E-03   2.05E-04   8.27E-05   8.16E-05
  2.19E-03   1.80E-04   7.19E-05   7.10E-05
  2.24E-03   1.59E-04   6.29E-05   6.21E-05
  2.29E-03   1.41E-04   5.53E-05   5.46E-05
  2.34E-03   1.26E-04   4.89E-05   4.84E-05
  2.40E-03   1.12E-04   4.35E-05   4.30E-05
  2.45E-03   1.01E-04   3.90E-05   3.85E-05
  2.51E-03   9.15E-05   3.50E-05   3.47E-05
  2.57E-03   8.31E-05   3.17E-05   3.14E-05
  2.63E-03   7.58E-05   2.88E-05   2.85E-05
  2.69E-03   6.95E-05   2.64E-05   2.61E-05
  2.75E-03   6.40E-05   2.42E-05   2.40E-05
  2.82E-03   5.92E-05   2.24E-05   2.22E-05
  2.88E-03   5.49E-05   2.08E-05   2.06E-05
  2.95E-03   5.12E-05   1.94E-05   1.92E-05
  3.02E-03   4.80E-05   1.82E-05   1.80E-05
  3.09E-03   4.52E-05   1.72E-05   1.70E-05
  3.16E-03   4.27E-05   1.63E-05   1.61E-05
  3.24E-03   4.04E-05   1.54E-05   1.52E-05
  3.31E-03   3.84E-05   1.46E-05   1.44E-05
  3.39E-03   3.64E-05   1.38E-05   1.37E-05
  3.47E-03   3.46E-05   1.31E-05   1.30E-05
  3.55E-03   3.29E-05   1.24E-05   1.23E-05
  3.63E-03   3.14E-05   1.18E-05   1.17E-05
  3.72E-03   2.99E-05   1.12E-05   1.11E-05
  3.80E-03   2.85E-05   1.07E-05   1.06E-05
  3.89E-03   2.72E-05   1.02E-05   1.01E-05
  3.98E-03   2.60E-05   9.70E-06   9.61E-06
  4.07E-03   2.49E-05   9.26E-06   9.17E-06
  4.17E-03   2.38E-05   8.84E-06   8.75E-06
  4.27E-03   2.28E-05   8.45E-06   8.37E-06
  4.37E-03   2.19E-05   8.08E-06   8.00E-06
  4.47E-03   2.10E-05   7.74E-06   7.66E-06
  4.57E-03   2.02E-05   7.41E-06   7.34E-06
  4.68E-03   1.94E-05   7.10E-06   7.03E-06
  4.79E-03   1.86E-05   6.81E-06   6.75E-06
  4.90E-03   1.79E-05   6.54E-06   6.48E-06
  5.01E-03   1.73E-05   6.28E-06   6.22E-06
  5.13E-03   1.66E-05   6.03E-06   5.98E-06
  5.25E-03   1.60E-05   5.80E-06   5.75E-06
  5.37E-03   1.55E-05   5.58E-06   5.53E-06
  5.50E-03   1.49E-05   5.37E-06   5.33E-06
  5.62E-03   1.44E-05   5.18E-06   5.13E-06
  5.75E-03   1.39E-05   4.99E-06   4.95E-06
  5.89E-03   1.35E-05   4.81E-06   4.77E-06
  6.03E-03   1.30E-05   4.64E-06   4.60E-06
  6.17E-03   1.26E-05   4.48E-06   4.44E-06
  6.31E-03   1.22E-05   4.32E-06   4.29E-06
  6.46E-03   1.18E-05   4.17E-06   4.14E-06
  6.61E-03   1.14E-05   4.03E-06   4.00E-06
  6.76E-03   1.11E-05   3.90E-06   3.86E-06
  6.92E-03   1.07E-05   3.77E-06   3.74E-06
  7.08E-03   1.04E-05   3.64E-06   3.61E-06
  7.24E-03   1.01E-05   3.52E-06   3.49E-06
  7.41E-03   9.77E-06   3.41E-06   3.38E-06
  7.59E-03   9.47E-06   3.30E-06   3.27E-06
  7.76E-03   9.19E-06   3.19E-06   3.16E-06
  7.94E-03   8.91E-06   3.09E-06   3.06E-06
  8.13E-03   8.65E-06   2.99E-06   2.97E-06
  8.32E-03   8.39E-06   2.89E-06   2.87E-06
  8.51E-03   8.14E-06   2.80E-06   2.78E-06
  8.71E-03   7.90E-06   2.71E-06   2.69E-06
  8.91E-03   7.67E-06   2.62E-06   2.60E-06
  9.12E-03   7.44E-06   2.54E-06   2.52E-06
  9.33E-03   7.22E-06   2.46E-06   2.44E-06
  9.55E-03   7.01E-06   2.38E-06   2.36E-06
  9.77E-03   6.80E-06   2.30E-06   2.29E-06
  1.00E-02   6.60E-06   2.23E-06   2.21E-06
  1.02E-02   6.40E-06   2.16E-06   2.15E-06
  1.05E-02   6.21E-06   2.10E-06   2.08E-06
  1.07E-02   6.03E-06   2.04E-06   2.02E-06
  1.10E-02   5.86E-06   1.98E-06   1.96E-06
  1.12E-02   5.69E-06   1.92E-06   1.91E-06
  1.15E-02   5.53E-06   1.87E-06   1.85E-06
  1.17E-02   5.38E-06   1.81E-06   1.80E-06
  1.20E-02   5.23E-06   1.76E-06   1.75E-06
  1.23E-02   5.09E-06   1.71E-06   1.70E-06
  1.26E-02   4.96E-06   1.67E-06   1.66E-06
  1.29E-02   4.83E-06   1.62E-06   1.61E-06
  1.32E-02   4.70E-06   1.58E-06   1.57E-06
  1.35E-02   4.58E-06   1.54E-06   1.53E-06
  1.38E-02   4.46E-06   1.50E-06   1.49E-06
  1.41E-02   4.35E-06   1.46E-06   1.45E-06
  1.45E-02   4.24E-06   1.42E-06   1.41E-06
  1.48E-02   4.13E-06   1.39E-06   1.38E-06
  1.51E-02   4.03E-06   1.35E-06   1.34E-06
  1.55E-02   3.93E-06   1.32E-06   1.31E-06
  1.58E-02   3.84E-06   1.29E-06   1.28E-06
  1.62E-02   3.74E-06   1.25E-06   1.24E-06
  1.66E-02   3.65E-06   1.22E-06   1.21E-06
  1.70E-02   3.56E-06   1.19E-06   1.18E-06
  1.74E-02   3.48E-06   1.16E-06   1.16E-06
  1.78E-02   3.40E-06   1.14E-06   1.13E-06
  1.82E-02   3.32E-06   1.11E-06   1.10E-06
  1.86E-02   3.24E-06   1.08E-06   1.07E-06
  1.91E-02   3.16E-06   1.06E-06   1.05E-06
  1.95E-02   3.09E-06   1.03E-06   1.02E-06
  2.00E-02   3.02E-06   1.01E-06   1.00E-06
  2.04E-02   2.95E-06   9.83E-07   9.77E-07
  2.09E-02   2.88E-06   9.60E-07   9.54E-07
  2.14E-02   2.81E-06   9.38E-07   9.31E-07
  2.19E-02   2.75E-06   9.16E-07   9.09E-07
  2.24E-02   2.68E-06   8.94E-07   8.88E-07
  2.29E-02   2.62E-06   8.74E-07   8.67E-07
  2.34E-02   2.56E-06   8.53E-07   8.47E-07
  2.40E-02   2.50E-06   8.33E-07   8.28E-07
  2.45E-02   2.44E-06   8.14E-07   8.08E-07
  2.51E-02   2.39E-06   7.95E-07   7.89E-07
  2.57E-02   2.33E-06   7.76E-07   7.71E-07
  2.63E-02   2.28E-06   7.58E-07   7.53E-07
  2.69E-02   2.23E-06   7.41E-07   7.36E-07
  2.75E-02   2.18E-06   7.24E-07   7.19E-07
  2.82E-02   2.13E-06   7.07E-07   7.02E-07
  2.88E-02   2.08E-06   6.91E-07   6.86E-07
  2.95E-02   2.03E-06   6.75E-07   6.70E-07
