 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2027  Perigee Altitude =    274.780  Apogee Altitude =   279.999  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.04E-12   1.04E-12   1.04E-12   2.68E-10   9.73E-12   5.97E-12
   Max.:          1.67E+02   2.00E-01   1.62E-03   9.95E-08   9.48E-09   4.03E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
   9.1     9.2    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   9.2     9.3    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   9.3     9.4    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   9.4     9.5    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   9.5     9.6    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   9.6     9.7    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   9.7     9.8    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   9.8     9.9    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   9.9    10.0    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
  10.0    10.1    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  10.1    10.2    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  10.2    10.3    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  10.3    10.4    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  10.4    10.5    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  10.5    10.6    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  10.6    10.7    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  10.7    10.8    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  10.8    10.9    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  10.9    11.0    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.0    11.1    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.1    11.2    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.2    11.3    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.3    11.4    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.4    11.5    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.5    11.6    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.6    11.7    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.7    11.8    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.8    11.9    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  11.9    12.0    9.26E+01   1.40E-01   6.87E-04   6.40E-08   7.28E-09   3.41E-09
  12.0    12.1    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  12.1    12.2    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  12.2    12.3    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  12.3    12.4    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  12.4    12.5    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  12.5    12.6    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  12.6    12.7    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  12.7    12.8    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  12.8    12.9    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  12.9    13.0    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.0    13.1    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.1    13.2    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.2    13.3    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.3    13.4    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.4    13.5    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.5    13.6    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.6    13.7    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.7    13.8    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.8    13.9    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  13.9    14.0    1.67E+02   2.00E-01   5.93E-04   6.70E-08   9.48E-09   3.51E-09
  14.0    14.1    1.44E+02   1.59E-01   1.68E-04   5.07E-08   7.08E-09   2.86E-09
  14.1    14.2    1.44E+02   1.59E-01   1.68E-04   5.07E-08   7.08E-09   2.86E-09
